var,corr,p
AABS01001062.1/1312-1507,0.17004378124350486,0.009004816216299371
AAPE02063260.1/13254-13329,0.1696313972601765,0.00917554063443052
ABRO02058519.1/20225-20101,0.19339265145524562,0.0029108357041987653
AFVQ02000034.1/73-6,0.19966124595868653,0.00210182284216063
AGTP01085064.1/14285-14081,0.20632710591766024,0.00147092582369337
APMT01120283.1/56044-55913,0.17853955392694826,0.006061219615408753
AYUG01159745.1/20932-20810,-0.21314241893676988,0.0010095521756280433
AYZV02000293.1/2205-2295,0.19415337166607397,0.0027994879042073143
AZNC01067038.1/15029-14953,0.25378083172585153,8.345899090461638e-05
BACD03000025.1/138350-138526,0.1889781022152323,0.003640061904957264
CAJW012617423.1/157-33,0.21298103679674796,0.0010187276976847217
CAUH01000685.1/35621-35704,0.20479879114986882,0.0015979134406097677
CH476627.1/536059-536355,0.17846171774694303,0.006083713441126565
CM000008.3/69200578-69200652,0.17476951035975014,0.00724039400566391
CM000039.3/64876215-64876320,0.22701971530985224,0.00045234366070983565
CM000129.1/28244457-28244662,-0.22669386621844256,0.0004612129688418006
CM000240.1/74503386-74503266,0.1940322569690824,0.0028169529184936194
CM000244.2/80368906-80368770,0.19091841741507848,0.003301323319647599
CM000366.1/3274652-3274560,0.17682393284992717,0.006574666001603648
CM000392.2/29331781-29331980,0.17931741167852788,0.005840482660004872
CM000415.1/12243987-12244060,-0.1920859080871111,0.0031115159080482477
CM000569.1/53203652-53203755,0.20685130064169321,0.0014295447539342811
CM000819.4/56979313-56979381,0.1770369084432322,0.0065088819269275705
CM000883.2/48538382-48538247,0.23473778098213563,0.0002832813892049273
CM001379.3/33928993-33929101,0.1935002391406764,0.002894847866396336
CM001592.2/9135555-9135327,0.2445038695531182,0.0001532097899280989
CM001639.1/17845504-17845618,0.20799383907299784,0.0013430200183792826
CM001655.1/102157246-102157141,0.18180119169184827,0.00518303580978035
CM001671.1/78945567-78945478,0.18701734752258034,0.004013968530315915
CM002492.1/18571470-18571669,0.20621502878356945,0.0014799145306895523
CM002500.1/7762315-7762129,0.20818356400959748,0.0013291258604273192
CM002503.1/10640787-10640648,0.17331247716085316,0.007748319991499206
CM002790.1/40609917-40610014,0.18817845459000443,0.003788575659481033
CM004190.1/31852696-31852881,0.18258869084752918,0.004988919399135346
CM007902.1/61480962-61481067,0.2576587134054943,6.429744395420165e-05
CM009291.1/14792888-14793006,0.17229243089980817,0.008122549446307406
CP000002.3/3485600-3485344,0.21999802814163275,0.0006832164456814077
DS562857.1/50604569-50604432,0.19570999316885923,0.0025836011185416704
FAOM01000242.1/161612-161742,-0.28554808566263645,8.709181690229237e-06
FAOM01063157.1/4067-3968,0.24920339423694174,0.00011295443108650554
FAOM01220636.1/35858-35993,0.17908051530561528,0.0059069330932053545
FJOG01000005.1/1782459-1782753,0.20011695253392053,0.0020518781152343486
FQZH01000002.1/150748-150837,0.19898083266390054,0.0021784590143893753
FR853096.2/59612086-59612169,0.175548367137567,0.0069812443050855655
FR886283.1/17935-17786,0.23106171829182323,0.0003547041216614891
FR890299.1/6581-6413,0.17517897906266364,0.007103101026401177
FXLY01000013.1/161323-161523,0.17527748165095539,0.007070422064641395
GL378368.1/824067-824227,0.18663864718172793,0.00409005552005854
GL996499.1/1382371-1382576,0.20076930594407616,0.001982262670442297
JH835375.1/2756051-2756127,0.24360051031531224,0.00016234512011157408
JH835586.1/2826646-2826554,0.1983937671411326,0.0022466170628425534
JJOQ01001127.1/6810-6421,0.20511209069501454,0.0015710921638304749
JJRC01042949.1/7649-7767,0.18030116494246937,0.005571641971753435
JWTA01000001.1/16408-16333,0.21977376407361285,0.0006921299164154084
KI536726.1/21528936-21528540,0.18788957218400926,0.0038435589846337816
KQ059634.1/14379-14236,0.18877559037491123,0.0036771673304297385
LECW02000001.1/126878-127139,0.19295321343537933,0.002976972204364194
LT598448.1/931605-931694,0.17204367237319662,0.00821621608082581
LWHJ01000029.1/175155-175058,0.19093814775104367,0.00329803044506651
LZPO01034913.1/304384-304464,0.24159360635996166,0.00018449319723889051
LZPO01044062.1/399432-399284,0.16993649901543947,0.009048956993179735
LZPO01117038.1/148210-148082,0.18370420336576238,0.004725124462088095
MAYV01000014.1/326714-326648,-0.22924858324058192,0.00039578988148983497
MJEQ01003093.1/87137-87233,0.16940495485678458,0.009270502011590976
MKZW02000001.1/205066-204852,-0.1827150489729545,0.004958387961606534
MLKD01000016.1/149596-149414,-0.2266833426572705,0.00046150207966158774
